Name,R.A.,Dec.,OID,Discovery date (UT),mag,er_down,er_up,ref,er_ref,TNS,Type,Comments
SNAD101,247.45543,24.77282,633207400004730,2018-04-08 09:45:49,21.11,0.27,0.36,20.84,0.06,AT 2018lwh,PSN,ZTF18abqkqdm
SNAD102,245.05375,28.38220,633216300024691,2018-03-21 11:08:19,21.18,0.28,0.39,20.26,0.07,AT 2018lwi,PSN,ZTF18abdgwos
SNAD103,219.83787,47.40378,758205100001118,2018-05-24 07:40:32,21.13,0.28,0.37,21.02,0.07,AT 2018lwj,AGN,
SNAD104,218.91620,46.38441,758205400019523,2018-06-24 07:23:27,20.10,0.14,0.16,20.89,0.10,AT 2018lwk,PSN,ZTF18aawqbuc
SNAD105,218.34626,49.22553,758209200010983,2018-04-14 07:33:55,21.03,0.26,0.34,21.51,0.10,AT 2018lwl,AGN,
SNAD106,219.41935,50.16706,758213400002862,2018-05-04 07:48:50,20.98,0.27,0.36,20.98,0.08,AT 2018lwm,PSN,
SNAD107,254.41703,44.29804,762202300014913,2018-05-04 07:39:44,21.40,0.27,0.36,21.82,0.17,AT 2018lwn,PSN,
SNAD108,257.84004,48.21127,762209400037712,2018-04-16 10:34:47,21.23,0.28,0.38,20.99,0.06,AT 2018lwo,PSN,ZTF18abauopo
SNAD109,191.17808,54.31252,790207100016149,2018-05-04 06:23:51,22.35,0.23,0.29,20.67,0.06,AT 2018lwp,PSN,
SNAD110,197.91087,56.96729,790213400013270,2018-05-22 04:56:56,20.64,0.26,0.35,20.22,0.06,AT 2018lwq,PSN,
SNAD111,263.42634,52.62203,796201100002136,2018-06-21 07:59:02,21.32,0.28,0.39,21.72,0.15,AT 2018lwr,PSN,ZTF18abdldos
SNAD112,263.37725,51.25848,796201400007564,2018-05-14 09:19:47,20.98,0.22,0.28,22.63,0.26,AT 2018lws,PSN,ZTF18aaubejv
SNAD113,254.81890,58.37547,796215200010831,2018-08-13 03:46:29,20.35,0.15,0.18,21.90,0.11,AT 2018lwt,PSN,ZTF18abmmdnx
SNAD114,257.27308,57.55380,796215400002705,2018-05-24 08:21:43,20.11,0.12,0.13,22.34,0.27,AT 2018lwu,PSN,ZTF18aawkaod
SNAD115,252.82337,62.83286,824209400038197,2018-09-06 03:48:07,20.52,0.21,0.26,20.29,0.09,AT 2018lwv,PSN,ZTF18absufwv
SNAD116,242.29542,62.48738,824212400005043,2018-07-29 06:54:52,20.96,0.26,0.34,21.15,0.10,AT 2018lww,PSN,ZTF18abklrmo
SNAD117,254.04870,65.01217,824213100016761,2018-04-09 10:00:27,20.72,0.26,0.34,21.15,0.06,AT 2018lwx,PNV,ZTF18aanbiig
SNAD118,244.14203,64.94428,824215300009825,2018-05-28 07:46:36,20.44,0.17,0.20,21.39,0.08,AT 2018lwy,PSN,ZTF18aaxmgyn
SNAD119,245.80060,68.69152,847207200014161,2018-05-25 09:21:29,20.68,0.23,0.29,20.44,0.07,AT 2018lwz,PSN,ZTF18abgujpm
SNAD120,255.06791,70.51376,847209200012956,2018-05-04 08:15:01,21.19,0.26,0.35,22.16,0.19,AT 2018lxa,PSN,ZTF18aazydub
SNAD121,248.33307,71.11514,847211100017171,2018-18-07 05:27:08,21.06,0.26,0.34,21.68,0.13,AT 2018lxb,PSN,ZTF18abklshn
SNAD122,217.38363,33.54185,676212400013135,2018-05-24 7:20:38,20.084,0.12,0.14,21.91,0.12,AT 2018lxg,PSN,ZTF18aawqcqz
SNAD123,230.71268,41.05182,720209400014960,2018-03-21 09:10:05,20.39,0.19,0.23,19.64,0.05,AT 2018lxh,PSN,ZTF18aagrczj
SNAD124,212.14042,58.49805,792215100001492,2018-04-06 08:08:31,20.04,0.20,0.24,18.75,0.04,AT 2018lxi,PSN,ZTF18aaigpcr
SNAD125,222.74691,55.19418,793211300013937,2018-04-24 09:31:49,21.18,0.27,0.36,21.45,0.09,AT 2018lxj,PSN,ZTF18aaykuzt
SNAD126,226.65118,54.70207,793206100016155,2018-06-01 07:30:48,21.01,0.26,0.34,21.30,0.07,AT 2018lxk,AGN,ZTF18aaziehk
SNAD127,224.96223,57.52264,793214300002434,2018-03-21 08:54:09,19.97,0.13,0.15,21.01*,0.20,AT 2018lxl,PSN,ZTF18aaqufmy
SNAD128,230.50802 ,53.61611,793205400010761,2018-04-06 08:31:46,20.56,0.22,0.27,20.28,0.09,AT 2018lxm,PSN,
SNAD129,237.28114 ,41.91548,721210100012349,2018-03-21 08:44:36,19.91,0.12,0.13,21.33*,0.22,AT 2018lxn,PSN,ZTF18aalrsbd 
SNAD130,232.13026 ,51.98997,794204400017737,2018-06-30 08:17:33,20.44,0.17,0.21,21.31,0.13,AT 2018lxo,PSN,ZTF18abedlru
SNAD131,239.69206 ,56.42458,794209200012381,2018-04-14 08:24:53,21.20,0.28,0.37,21.46,0.14,AT 2018lxp,PSN,
SNAD132,239.95822 ,55.34216,794209300004376,2018-05-09 19:18:07,20.99,0.22,0.28,21.98,0.19,AT 2018lxq,PSN,ZTF18aaumixp
SNAD133,242.93762 ,55.96133,795212100007964,2018-04-08 09:34:26,20.75,0.25,0.32,19.64,0.04,AT 2018lxr,PSN,ZTF18aanbksg
SNAD134,252.30216 ,54.11178,795205100007271,2018-05-31 08:52:36,21.16,0.27,0.36,21.19,0.09,AT 2018lxs,PSN,ZTF18aayatjf
SNAD135,242.30742 ,52.21426,795204100013041,2018-04-11 11:30:49,21.05,0.24,0.30,21.50,0.07,AT 2018lxt,PSN,ZTF18abgvctp 
SNAD136,257.67202, 63.69693,825211200009477,2018-07-22 05:55:20,21.19,0.29,0.40,21.09,0.10,AT 2018lxu,PSN,ZTF18abrwswl 
SNAD137,260.16229, 59.49770,825202200039582,2018-05-04 08:15:28,20.97,0.24,0.30,21.38,0.12,AT 2018lxv,PSN,ZTF18aaqzcvy
SNAD138,257.88902 ,62.49717,825211300010764,2018-06-25 06:51:24,21.45,0.31,0.43,21.58,0.12,AT 2018lxw,PSN,ZTF18abedwws 
SNAD139,264.55471 ,44.26862,763202300013915,2018-04-08 09:28:11,20.87,0.24,0.30,19.42,0.03,AT 2018lxx,PSN,ZTF18aajtpsk
SNAD140,265.07827,51.02980,763214100014089,2018-03-21 10:14:24,19.59,0.09,0.10,21.19*,0.22,AT 2018lxy,PSN,ZTF18aaoihyt
SNAD141,268.46498 ,70.79590,848210200003752,2018-05-25 08:53:16,21.21,0.30,0.42,20.85,0.06,AT 2018lxz,PNV,
SNAD142,274.19431 ,59.44037,826202200030732,2018-07-03 08:17:54,20.55,0.17,0.20,21.03,0.06,AT 2018lya,PSN,ZTF18ablvrgt
SNAD143,270.03210 ,34.66995,682209200018910,2018-03-21 10:07:16,19.85,0.10,0.11,21.30*,0.20,AT 2018lyb,PSN,ZTF18aaqzrpf
SNAD144,269.87561 ,49.88876,764216400008221,2018-03-21 12:52:02,21.56,0.31,0.44,21.73,0.11,AT 2018lyc,PSN,ZTF18abwlrdj
SNAD145,275.79452,48.31019,764210400028832,2018-07-28 07:28:09,21.22,0.27,0.37,21.07,0.10,AT 2018lyd,PSN,
SNAD146,197.21596,44.96981,756202100006670,2018-03-21 09:04:43,19.98,0.13,0.15,20.67,0.06,AT 2018lyr,PSN,ZTF18aahiqfy
SNAD147,192.55741,46.63066,756207300010654,2018-04-08 05:30:04,20.45,0.20,0.25,20.65,0.08,AT 2018lys,PSN,
SNAD148,242.02518,58.64369,824204400004814,2018-05-25 09:47:22,20.73,0.25,0.32,19.78,0.03,AT 2018lyt,AGN,ZTF20aawoedk
SNAD149,284.35219,67.17743,849202200027457,2018-08-23 05:18:23,21.05,0.29,0.41,20.18,0.08,AT 2018lyu,PSN,ZTF18abrlhnm
SNAD150,240.75660,32.64360,679208100014706, 2018-04-08 08:46:41,19.46,0.07,0.08,21.98*,0.26,AT 2018lyv,PSN,ZTF18aaqnsia
SNAD151,190.61613,52.77285,790203100008547,2018-05-11 07:00:55,21.13,0.30,0.41,20.89,0.09,AT 2018lyw,PSN,ZTF19aaoykyz
SNAD152,212.40042,55.95669,792211100014627,2018-04-06 08:08:50,19.99,0.19,0.24,19.16*,0.07,AT 2018lyx,PSN,ZTF18aanaryv
SNAD153,325.96473,24.35382,643205300015134,2018-05-31 09:54:18,21.28,0.28,0.38,20.08,0.03,AT 2018lyy,AGN,ZTF18abvosry
SNAD154,219.40247,38.04782,719202100004008,2018-05-04 07:22:12,21.09,0.27,0.36,20.67,0.04,AT 2018lyz,AGN,
SNAD155,212.29492,38.70615,718205300006523,2018-04-06 08:15:31,20.45,0.22,0.28,20.41*,0.15,AT 2018lza,AGN,ZTF18acwyyib
